sample,latency(s)
1,0.4414529800415039
2,0.4657735824584961
3,0.4534626007080078
4,0.41036295890808105
5,0.4127640724182129
6,0.4134042263031006
7,0.43114399909973145
8,0.4495096206665039
9,0.47755885124206543
10,0.4696156978607178
11,0.4393894672393799
12,0.4611830711364746
13,0.4087405204772949
14,0.45510053634643555
15,0.42586445808410645
16,0.49008822441101074
17,0.4103422164916992
18,0.4193296432495117
19,0.4027872085571289
20,0.4681050777435303
21,0.4276094436645508
22,0.41333770751953125
23,0.4728713035583496
24,0.40866661071777344
25,0.42688894271850586
26,0.42884373664855957
27,0.41292548179626465
28,0.4280717372894287
29,0.4156937599182129
30,0.4335322380065918
