sample,latency(s)
1,0.4282376766204834
2,0.39519309997558594
3,0.4390406608581543
4,0.44965457916259766
5,0.43033742904663086
6,0.3825256824493408
7,0.410628080368042
8,0.4011855125427246
9,0.3934595584869385
10,0.38216447830200195
11,0.39707136154174805
12,0.38788771629333496
13,0.4026036262512207
14,0.4050736427307129
15,0.39426612854003906
16,0.3996741771697998
17,0.378767728805542
18,0.391357421875
19,0.39418673515319824
20,0.3756558895111084
21,0.4083588123321533
22,0.387636661529541
23,0.3989558219909668
24,0.37492871284484863
25,0.3878476619720459
26,0.4342803955078125
27,0.38611578941345215
28,0.40328550338745117
29,0.40039563179016113
30,0.41318464279174805
