sample,latency(s)
1,12.306661128997803
2,13.489776372909546
3,11.608172178268433
4,11.302137851715088
5,11.441066026687622
6,11.820344686508179
7,11.4423668384552
8,10.884002685546875
9,11.12634539604187
10,11.047827959060669
11,11.062452793121338
12,10.992207527160645
13,11.342963695526123
14,11.164739608764648
15,10.819611310958862
16,11.659530639648438
17,11.360240459442139
18,11.494184017181396
19,11.49292254447937
20,11.391189336776733
21,11.59987759590149
22,11.619818925857544
23,11.420061349868774
24,11.762393474578857
25,11.569374799728394
26,11.218612909317017
27,11.474301815032959
28,12.496567249298096
29,12.086268901824951
30,11.605226516723633
