sample,latency(s)
1,7.765373229980469
2,7.540101051330566
3,7.555872440338135
4,7.56371545791626
5,7.5522191524505615
6,7.698423147201538
7,7.628939151763916
8,7.537090063095093
9,7.957550764083862
10,7.610304355621338
11,7.7247209548950195
12,7.519819259643555
13,7.28247594833374
14,7.478602170944214
15,7.867632150650024
16,8.215952634811401
17,9.656148672103882
18,9.292906522750854
19,9.736649751663208
20,10.62701153755188
21,10.030013799667358
22,9.225725889205933
23,9.900386095046997
24,10.36782431602478
25,10.144485235214233
26,9.780033111572266
27,9.417478799819946
28,9.276866674423218
29,9.91157054901123
30,9.835395336151123
