sample,latency(s)
1,4.213064670562744
2,4.665932655334473
3,4.5637524127960205
4,4.14836573600769
5,4.752518653869629
6,4.964205980300903
7,4.467237949371338
8,5.020291090011597
9,4.17669415473938
10,4.347883224487305
11,3.855879306793213
12,4.937183141708374
13,4.378431081771851
14,4.1046671867370605
15,4.3689587116241455
16,4.675047159194946
17,4.832300424575806
18,4.054037570953369
19,4.604710817337036
20,4.046355962753296
21,4.143832445144653
22,4.833396673202515
23,4.054274082183838
24,4.482073783874512
25,4.553459644317627
26,4.251164674758911
27,4.44530177116394
28,4.604491949081421
29,4.905174255371094
30,4.8103508949279785
