sample,latency(s)
1,11.730270624160767
2,11.913175582885742
3,13.330434083938599
4,14.035054683685303
5,11.461622714996338
6,12.186028242111206
7,14.362442255020142
8,11.87978720664978
9,13.90931487083435
10,13.71989917755127
11,11.692460298538208
12,9.306034326553345
13,11.739338159561157
14,8.351394176483154
15,13.974671125411987
16,10.06011438369751
17,11.529589176177979
18,9.66874647140503
19,11.28776502609253
20,11.808109760284424
21,13.362053155899048
22,11.983945369720459
23,8.60768175125122
24,12.448618412017822
25,7.4801435470581055
26,9.814135313034058
27,8.988134384155273
28,11.500796556472778
29,14.124028444290161
30,10.755441188812256
